,conc,tps,up scale,efficiency
,1,15652,1.00,1.00
,2,24000,1.53,0.77
,3,25714,1.64,0.55
,4,22500,0.88,0.22
,5,22500,0.88,0.18
,6,21176,0.94,0.16
